,Tipo,Calendario,Clasificacion,Anio_prueba,Nombre_Colegio,Municipio,Departamento
5093,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL  MIXTO,PUERTO SALGAR,CUNDINAMARCA
5094,OFICIAL,A,C,2018,IE SILVANIA,GIGANTE,HUILA
5095,OFICIAL,A,C,2018,I. E.  DE DESARROLLO RURAL MIGUEL VALENCIA,JARDÍN,ANTIOQUIA
5096,OFICIAL,A,B,2018,IE LA MERCED,AGRADO,HUILA
5097,OFICIAL,A,B,2018,I. E. EL SALVADOR,PUEBLORRICO,ANTIOQUIA
5098,OFICIAL,A,D,2018,I. E. EL SALVADOR,PUEBLORRICO,ANTIOQUIA
5099,OFICIAL,A,B,2018,I. E. IGNACIO BOTERO VALLEJO,RETIRO,ANTIOQUIA
5100,OFICIAL,A,C,2018,IE JUAN XXIII,YUMBO,VALLE DEL CAUCA
5101,OFICIAL,A,D,2018,IE JUAN XXIII,YUMBO,VALLE DEL CAUCA
5102,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA REPUBLICA DE FRANCIA,SAN FRANCISCO,CUNDINAMARCA
5103,OFICIAL,A,B,2018,I. E. ESCUELA NORMAL SUPERIOR MIGUEL ANGEL ALVAREZ,FRONTINO,ANTIOQUIA
5104,OFICIAL,A,C,2018,INSTITUCION EDUCATIVA  LA INTEGRADA,SAN PABLO,BOLÍVAR
5105,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA  LA INTEGRADA,SAN PABLO,BOLÍVAR
5106,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA DE CANALETAL,SAN PABLO,BOLÍVAR
5107,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL,NOCAIMA,CUNDINAMARCA
5108,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL,NOCAIMA,CUNDINAMARCA
5109,OFICIAL,A,A,2018,INSTITUCION EDUCATIVA EL PICACHITO,MEDELLÍN,ANTIOQUIA
5110,OFICIAL,A,A,2018,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE SALES,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER
5111,OFICIAL,A,D,2018,I.E. LA BETULIA,SUÁREZ,CAUCA
5112,OFICIAL,A,C,2018,INST EDUC PEDRO CLAVER AGUIRRE,MEDELLÍN,ANTIOQUIA
5113,OFICIAL,A,B,2018,INST EDUC FRANCISCO MIRANDA,MEDELLÍN,ANTIOQUIA
5114,OFICIAL,A,D,2018,I. E. R. PABLO VI,REMEDIOS,ANTIOQUIA
5115,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA REAL DE MARES,BARRANCABERMEJA,SANTANDER
5116,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA INSTITUTO TECNICO SUPERIOR INDUSTRIAL,BARRANCABERMEJA,SANTANDER
5117,OFICIAL,A,B,2018,IE RAMON ALVARADO SANCHEZ,GARZÓN,HUILA
5118,OFICIAL,A,B,2018,INSTITUCIÓN EDUCATIVA RURAL MARIA GORETTI,MANIZALES,CALDAS
5119,OFICIAL,A,D,2018,INSTITUCIÓN EDUCATIVA RURAL MARIA GORETTI,MANIZALES,CALDAS
5120,OFICIAL,A,C,2018,INST TECNICO AGRICOLA,GRAMALOTE,NORTE DE SANTANDER
5121,OFICIAL,A,C,2018,INSTITUCION EDUCATIVA LOS GARZONES,MONTERÍA,CÓRDOBA
5122,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA SANTA ROSA DE LIMA,SANTA ROSA,BOLÍVAR
5123,OFICIAL,A,D,2018,I. E. BAJO SAN FRANCISCO,SANTANDER DE QUILICHAO,CAUCA
5124,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA RURAL JUAN PABLO II,MANIZALES,CALDAS
5125,OFICIAL,A,D,2018,I. E.  COLORADO,NECHÍ,ANTIOQUIA
5126,OFICIAL,A,B,2018,IE MUNICIPAL CHILLURCO,PITALITO,HUILA
5127,OFICIAL,A,B,2018,INSTITUTO SAN ISIDRO DE CACHIRI,SURATÁ,SANTANDER
5128,OFICIAL,A,A,2018,COL JOSE EUSEBIO CARO,OCAÑA,NORTE DE SANTANDER
5129,NO OFICIAL,A,B,2018,LIC CAMPESTRE                                               ,CHÍA,CUNDINAMARCA
5130,OFICIAL,A,C,2018,INSTITUCION EDUCATIVA DULCE NOMBRE,SAMANÁ,CALDAS
5131,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA AGUSTIN NIETO CABALLERO,DOSQUEBRADAS,RISARALDA
5132,OFICIAL,A,C,2018,INSTITUCION EDUCATIVA OBISPO,SUPÍA,CALDAS
5133,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA ENCIMADAS,SAMANÁ,CALDAS
5134,OFICIAL,A,C,2018,INSTITUCION EDUCATIVA JOSE ANTONIO GALAN,MANZANARES,CALDAS
5135,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,CUNDINAMARCA
5136,OFICIAL,A,C,2018,CHAPINERO,NEIVA,HUILA
5137,OFICIAL,A,B,2018,COLEGIO INTEGRADO EDUARDO CAMACHO GAMBA,CURITÍ,SANTANDER
5138,OFICIAL,A,B,2018,I.E. SAMORE,TOLEDO,NORTE DE SANTANDER
5139,OFICIAL,A,A+,2018,I.E.M. CIUDAD DE PASTO,PASTO,NARIÑO
5140,OFICIAL,A,C,2018,I.E.M MANABLANCA,FACATATIVÁ,CUNDINAMARCA
5141,OFICIAL,A,B,2018,INSTITUCIÓN EDUCATIVA GENERAL FRANCISCO DE PAULA SANTANDER,CALI,VALLE DEL CAUCA
5142,OFICIAL,A,D,2018,INSTITUCIÓN EDUCATIVA GENERAL FRANCISCO DE PAULA SANTANDER,CALI,VALLE DEL CAUCA
